2022-11-28 19:45:55[WARN]  Block 'TIM:HMISubsystem' have no individuals. But it better have
2022-11-28 19:45:56[INFO]  Create rule: TIM:SpecialNode(?n)^TIM:hasXmiID(?n,"EAID_48E50EC8_1FE5_4a98_843A_02857123DFA7")->TIM:hasTarget(TIM:ControlFlow8,?n)
2022-11-28 19:45:56[INFO]  Create rule: TIM:SpecialNode(?n)^TIM:hasXmiID(?n,"EAID_AA18C772_F750_4f7f_9E12_450A6918097F")->TIM:hasTarget(TIM:ControlFlow11,?n)
2022-11-28 19:45:56[INFO]  Create rule: TIM:SpecialNode(?n)^TIM:hasXmiID(?n,"EAID_E99756C3_A577_46e4_A9DF_C18656935898")->TIM:hasTarget(TIM:ControlFlow14,?n)
2022-11-28 19:45:56[INFO]  Create rule: TIM:SpecialNode(?n)^TIM:hasXmiID(?n,"EAID_F4E98018_BF4E_4b01_BE83_9392FB72E73E")->TIM:hasTarget(TIM:ControlFlow18,?n)
2022-11-28 19:45:58[ERROR]  The type of object passed by the action TIM:Derive_Local_Costmap is inconsistent with the type returned by the corresponding block function.
2022-11-28 19:45:58[ERROR]  The type of object passed by the action TIM:Derive_Local_Costmap is inconsistent with the type returned by the corresponding block function.
2022-11-28 19:45:58[ERROR]  The type of object passed by the action TIM:Derive_Local_Costmap is inconsistent with the type returned by the corresponding block function.
2022-11-28 19:45:58[INFO]  Create rule: TIM:SpecialNode(?n)^TIM:hasXmiID(?n,"EAID_9BE11F47_5B2D_41e0_8B1E_162F35E57A11")->TIM:hasSource(TIM:Transition0,?n)
2022-11-28 19:45:58[INFO]  Create rule: TIM:SpecialNode(?n)^TIM:hasXmiID(?n,"EAID_9BE11F47_5B2D_41e0_8B1E_162F35E57A11")->TIM:hasSource(TIM:Transition1,?n)
2022-11-28 19:45:58[INFO]  Create rule: TIM:SpecialNode(?n)^TIM:hasXmiID(?n,"EAID_07EF1A69_37F9_4661_8629_9C7BC1F822D1")->TIM:hasSource(TIM:Transition3,?n)
2022-11-28 19:45:58[INFO]  Create rule: TIM:SpecialNode(?n)^TIM:hasXmiID(?n,"EAID_07EF1A69_37F9_4661_8629_9C7BC1F822D1")->TIM:hasSource(TIM:Transition4,?n)
2022-11-28 19:45:58[INFO]  Create rule: TIM:SpecialNode(?n)^TIM:hasXmiID(?n,"EAID_07EF1A69_37F9_4661_8629_9C7BC1F822D1")->TIM:hasTarget(TIM:Transition5,?n)
2022-11-28 19:45:58[INFO]  Create rule: TIM:SpecialNode(?n)^TIM:hasXmiID(?n,"EAID_DCEEDBEE_D7EE_4f5d_B2FD_102D2499670C")->TIM:hasSource(TIM:Transition6,?n)
2022-11-28 19:45:58[INFO]  Create rule: TIM:SpecialNode(?n)^TIM:hasXmiID(?n,"EAID_DD5BEB20_7E41_47e9_9C10_6D7B21DA6184")->TIM:hasSource(TIM:Transition12,?n)
2022-11-28 19:45:58[INFO]  Create rule: TIM:SpecialNode(?n)^TIM:hasXmiID(?n,"EAID_DD5BEB20_7E41_47e9_9C10_6D7B21DA6184")->TIM:hasSource(TIM:Transition13,?n)
2022-11-28 19:45:58[INFO]  Create rule: TIM:SpecialNode(?n)^TIM:hasXmiID(?n,"EAID_E21C9BE8_1023_497b_ABB7_117C3810DB41")->TIM:hasSource(TIM:Transition14,?n)
2022-11-28 19:45:58[INFO]  Create rule: TIM:SpecialNode(?n)^TIM:hasXmiID(?n,"EAID_41D3509C_127F_434a_BE5E_B3B97AEAE046")->TIM:hasSource(TIM:Transition16,?n)
2022-11-28 19:45:58[INFO]  Create rule: TIM:SpecialNode(?n)^TIM:hasXmiID(?n,"EAID_B86EF7A0_2BC6_402f_A4A6_74517E03B5E5")->TIM:hasSource(TIM:Transition17,?n)
2022-11-28 19:45:58[INFO]  Create rule: TIM:SpecialNode(?n)^TIM:hasXmiID(?n,"EAID_DD5BEB20_7E41_47e9_9C10_6D7B21DA6184")->TIM:hasTarget(TIM:Transition18,?n)
2022-11-28 19:45:58[INFO]  Create rule: TIM:SpecialNode(?n)^TIM:hasXmiID(?n,"EAID_DD5BEB20_7E41_47e9_9C10_6D7B21DA6184")->TIM:hasTarget(TIM:Transition19,?n)
2022-11-28 19:45:58[INFO]  Create rule: TIM:SpecialNode(?n)^TIM:hasXmiID(?n,"EAID_B86EF7A0_2BC6_402f_A4A6_74517E03B5E5")->TIM:hasSource(TIM:Transition20,?n)
2022-11-28 19:45:58[INFO]  Create rule: TIM:SpecialNode(?n)^TIM:hasXmiID(?n,"EAID_5BE4E7FF_F9DA_45a0_99E1_76368CF9C6BF")->TIM:hasSource(TIM:Transition21,?n)
2022-11-28 19:45:58[INFO]  Create rule: TIM:SpecialNode(?n)^TIM:hasXmiID(?n,"EAID_888BD81D_3618_4535_B95C_B6290880C6C5")->TIM:hasTarget(TIM:Transition23,?n)
2022-11-28 19:45:58[INFO]  Create rule: TIM:SpecialNode(?n)^TIM:hasXmiID(?n,"EAID_9BE11F47_5B2D_41e0_8B1E_162F35E57A11")->TIM:hasTarget(TIM:Transition25,?n)
2022-11-28 19:45:58[INFO]  Create rule: TIM:SpecialNode(?n)^TIM:hasXmiID(?n,"EAID_BE323002_4769_49ab_8EF4_9712B9169A44")->TIM:hasTarget(TIM:Transition26,?n)
2022-11-28 19:45:58[INFO]  Create rule: TIM:SpecialNode(?n)^TIM:hasXmiID(?n,"EAID_9BE11F47_5B2D_41e0_8B1E_162F35E57A11")->TIM:hasTarget(TIM:Transition27,?n)
2022-11-28 19:45:58[INFO]  Create rule: TIM:SpecialNode(?n)^TIM:hasXmiID(?n,"EAID_B86EF7A0_2BC6_402f_A4A6_74517E03B5E5")->TIM:hasTarget(TIM:Transition28,?n)
2022-11-28 19:45:58[INFO]  Create rule: TIM:SpecialNode(?n)^TIM:hasXmiID(?n,"EAID_B86EF7A0_2BC6_402f_A4A6_74517E03B5E5")->TIM:hasTarget(TIM:Transition29,?n)
2022-11-28 19:45:58[INFO]  Create rule: TIM:SpecialNode(?n)^TIM:hasXmiID(?n,"EAID_9FC94C2C_7930_4005_94B0_193A1869F16B")->TIM:hasSource(TIM:Transition31,?n)
2022-11-28 19:46:08[ERROR]  Edge TIM:costmapInput have more than 1 target: TIM:AutoCarBDD:TIM:planningsubsystem TIM:AutoCarBDD:TIM:perceptionsubsystem 
